id,telecallerId,leadId,client,status,comments,calledAt,createdAt
0087d3f4-6ef0-45f4-95a9-6aee0247d65f,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,a418f0c1-4a44-4660-8a67-17ea38727ee7,Zomato,Very Interested,Going on Monday,2020-04-01T10:30:00Z,2019-12-26T17:21:11.476Z
00899da7-0431-4766-b120-70e2166a8ad9,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,ac809e70-d08b-4196-9052-1eee7e9c8f7d,Move in sync,Not Interested - Disconnected the Call,,2019-12-05T14:00:00Z,2019-12-26T18:17:18.615Z
0091184d-b0b4-4515-94ab-22ef9a81b14d,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,8f556840-b15e-4c97-a6b3-21b148db484b,Swiggy,Switched Off/Not Reachable/No Incoming,,2019-11-01T12:00:00Z,2019-12-26T18:08:20.939Z
0098b53e-1cf9-4e86-afbe-bc0fcdb2ed75,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,63bfea4b-e06b-47b2-b13e-ebd2f642b5f4,Uber eats,Switched Off/Not Reachable,,2019-11-07T16:00:00Z,2019-12-26T18:17:20.052Z
009f9335-c76c-48fb-a48c-421b432ad086,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,c820ae25-032b-434c-aa76-f2cbf69d74be,Swiggy,CNP/Switched Off/Not Reachable,,2019-07-30T14:30:00Z,2019-12-26T17:31:26.319Z
00a425c4-4631-42e1-b2aa-6d1a224c9103,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,d53fc280-a97f-4272-8006-3f4a001435c4,Zomato,Don't Meet Requirements,No DL,2020-05-01T10:30:00Z,2019-12-26T17:22:22.622Z
00a7aa89-a571-44d7-a9d6-f680b8824942,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,cf3f7eaa-d734-4091-97bf-187121c9e176,Zomato,CNP/Switched Off/Not Reachable,,2019-07-23T14:00:00Z,2019-12-26T17:32:22.166Z
00a9a118-189c-42ea-b504-85b5fc7775fe,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,bdee56b6-b910-4189-b166-5d2c1a044ad4,Swiggy,Not Interested - Location Issue,Out of hyderabad,2019-08-05T17:30:00Z,2019-12-26T17:31:26.861Z
00ae3b34-83f8-42be-b811-c2649cb379ad,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,ae2654d0-7a50-4a79-a468-3c5a50d5b16a,Zomato,CNP/Switched Off/Not Reachable,,2020-06-01T10:30:00Z,2019-12-26T17:26:38.618Z
00b0c6e0-09ce-4e5a-8806-e9e8a8566575,4248b521-ce3f-4897-a30d-35c9ee81f746,4daa3cab-eb51-46a1-a2dc-01f6f8de6204,Move in sync,Very Interested,Docs yet to Share,2019-11-29T16:00:00Z,2019-12-26T18:22:10.111Z
00b780a7-92c8-49e9-af75-9d64db5701c4,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,2414fcf7-4f78-4462-bdc4-f35daa6a02e0,Uber Eats,Wrong Number/Number Not Valid,,2019-11-11T16:00:00Z,2019-12-26T18:17:14.621Z
00b7d27e-30fd-4dca-a71a-95eab9419f32,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,305c8a57-52a4-4eb6-8a55-68d82afe7911,Zomato,Disconnected the Call,,2020-05-01T10:30:00Z,2019-12-26T17:22:25.363Z
00b8de03-fd97-400f-bc3d-b4b62f98d592,4248b521-ce3f-4897-a30d-35c9ee81f746,2f6ac2bc-2d5e-41d5-a22e-7cfa8d533f68,Swiggy,CNP/Switched Off/Not Reachable,,2019-07-30T13:00:00Z,2019-12-26T17:36:17.047Z
00be297a-577c-42ca-8bad-5d5d8d975560,4248b521-ce3f-4897-a30d-35c9ee81f746,052edc80-915e-4427-9dc8-0e7faecdf830,Zomato,Interested,After 25 Aug,2019-08-14T16:00:00Z,2019-12-26T17:52:59.169Z
00c04764-f989-4fa3-a414-a0af204a0252,4248b521-ce3f-4897-a30d-35c9ee81f746,572fc081-710d-413f-a6f7-7a30c16fe4d3,Zomato,CNP/Switched Off/Not Reachable,,2019-08-19T15:00:00Z,2019-12-26T17:52:57.192Z
00c250a8-f367-4c2c-ba9c-ef9525c3dbfa,4248b521-ce3f-4897-a30d-35c9ee81f746,81175d00-a68d-496b-b121-10055ea5a831,Zomato,CNP/Switched Off/Not Reachable,,2019-08-19T14:30:00Z,2019-12-26T17:52:57.183Z
00c645c0-b053-4554-b119-43ab4ab1e19c,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,98ec488c-1234-43ed-97b2-4d435133ae2b,Random,Other Reasons,Repieted  number,2019-11-08T16:00:00Z,2019-12-26T18:17:17.028Z
00cb2d7b-d5b9-48e7-a7f0-9a18f2223c8f,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,99fd3885-9a91-49b3-8846-319df1df5326,Swiggy,CNP/Switched Off/Not Reachable,,2019-08-06T10:30:00Z,2019-12-26T17:31:22.238Z
00d2496e-ee93-4b48-92d8-5a971695302e,4248b521-ce3f-4897-a30d-35c9ee81f746,a177fc15-2acf-4c5e-8c43-73b4b2e6df28,Zomato,CNP/Switched Off/Not Reachable,Out of Service,2019-08-19T16:30:00Z,2019-12-26T17:52:59.601Z
00d59002-84c9-401a-a52f-03a285db9069,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,840b8512-68e8-4e23-9361-e15996f4a239,Zomato,Very Interested,Going on Wed,2020-04-01T10:30:00Z,2019-12-26T17:21:08.714Z
00da0cbe-fa42-4300-9e52-537e9c676a2e,4248b521-ce3f-4897-a30d-35c9ee81f746,1c19b421-6777-4207-aae3-ec9ca7548d83,Uber Eats,RNR,,2019-10-29T12:30:00Z,2019-12-26T18:09:38.843Z
00eba39a-0a0f-4f43-9999-156084f3e376,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,105eb64a-e541-4e41-b85a-a3bd1ab79d6d,Zomato,Not Interested,,2020-05-01T10:30:00Z,2019-12-26T17:22:21.178Z
00f5b205-faf0-4ea5-a4bd-c4b83d38fc34,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,94745187-868c-49b6-be1e-1d7b61fd96af,Dunzo,Interested but RNR on Follow-up,,2019-10-03T15:00:00Z,2019-12-26T18:08:17.331Z
0104dff6-22af-43a9-8775-baf982218b46,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,62bd351c-e649-4cde-a15a-3376c9a02e15,Zomato,CNP/Switched Off/Not Reachable,,2020-04-01T10:30:00Z,2019-12-26T17:21:11.191Z
01076d51-43dd-4a35-b120-c002f684a2ef,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,57301a53-c771-41bc-ba48-5063782c10c3,Swiggy,Wrong Number/Number Not Valid,,2019-08-01T14:30:00Z,2019-12-26T17:31:21.869Z
011184ad-ecf0-4cbe-a644-00ee24604e5b,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,5d24ae88-c9da-4de3-838f-21ed90f731dd,,Want Non-Delivery Jobs,,2020-04-01T10:30:00Z,2019-12-26T17:21:12.464Z
0118291a-9b59-4d99-88c6-89f761b6d518,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,0d325698-504b-4071-8c08-3ed8ba25cf59,Move in sync,Interested and Referred Someone,He will be call back on 6th Dec,2019-12-05T15:00:00Z,2019-12-26T18:17:18.651Z
011c4ad5-8bb0-45e6-9609-642e60acf920,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,ce49a819-a6b9-4c20-bb50-593ca85a715c,Zomato,Not Interested - Applied by Mistake,,2019-07-18T16:30:00Z,2019-12-26T17:32:21.244Z
01248a03-3ac9-48d5-a645-1536f15012f5,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,13559f36-41da-4ed3-9d0c-22a47927e865,Zomato,Wrong Number/Number Not Valid,,2020-06-01T10:30:00Z,2019-12-26T17:26:36.758Z
0124c8a4-9e14-42b0-97f7-1135d1648df7,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,1d3da2c7-1def-4f30-8c67-3bd10b81a23f,Zomato,Wrong Number/Number Not Valid,,2020-04-01T10:30:00Z,2019-12-26T17:21:10.619Z
012aa792-8d10-43a4-8dfd-ccf261039fa1,4248b521-ce3f-4897-a30d-35c9ee81f746,020966a1-b8fb-4347-b45f-84a6cf4af048,Zomato,Not Interested - Disconnected the Call,Said he wasnt interested,2019-08-28T17:30:00Z,2019-12-26T17:49:53.811Z
013a494f-4a3b-4cff-bf1c-01b04eb1015d,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,f6ae1263-6bde-4bed-97ed-dd45da2b5529,Rapido,Not Applied,,2020-05-01T10:30:00Z,2019-12-26T17:22:24.580Z
013b55eb-4d7c-45ea-8a04-5d4327c3a378,4248b521-ce3f-4897-a30d-35c9ee81f746,e3b6cabd-62a1-4cc9-969a-8f34085e18fa,Zomato,Very Interested,After 15 Aug,2019-08-08T15:30:00Z,2019-12-26T17:55:53.387Z
014de01c-2c07-41e3-bdce-5584a96216f2,4248b521-ce3f-4897-a30d-35c9ee81f746,3b2db16c-fd3a-4d2c-9449-ceb85462c3c1,Swiggy,Very Interested,Going on Thu,2019-07-31T12:30:00Z,2019-12-26T17:36:13.057Z
01541930-dba8-4434-bc66-c6bb1c410a6d,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,21e6df12-1f22-4553-bcfd-fe6773abbeec,,Not Interested,,2020-04-01T10:30:00Z,2019-12-26T17:21:12.565Z
01596c17-2f32-4567-8b70-af4b374465d4,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,fe2b9b9b-aac3-4ae1-9b8b-cc2014c4ea02,Zomato,Language Barrier,,2020-05-01T10:30:00Z,2019-12-26T17:22:22.960Z
0162e004-e70c-48c3-8f55-6211a4e4612c,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,65477a0f-7cca-4b97-8ee6-e1478e415770,Uber Eats,Switched Off/Not Reachable/No Incoming,,2019-10-07T10:30:00Z,2019-12-26T18:08:19.888Z
0162f607-4f45-435f-b2f9-5d3e8af2db4a,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,e7ac06c3-5ca7-4671-9eca-07cf0f7f7990,Uber Eats,Wrong Number/Number Not Valid,Wrong person,2019-11-12T15:00:00Z,2019-12-26T18:17:14.861Z
0163646d-4452-4d88-b5c4-9ae0f55d6dd8,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,53a251d7-0b39-4dec-bb76-7aba6788d270,Zomato,Not Interested,If he is interested he ill call back,2020-06-01T10:30:00Z,2019-12-26T17:26:36.573Z
016b2a51-671a-4696-9f4c-acdbee923cde,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,e08acf3a-ad92-4dde-a577-d1ff0a7706a2,Random,Not Interested - Not Applied,,2019-11-08T14:30:00Z,2019-12-26T18:25:40.780Z
01718ee0-849c-4750-b011-533a7e1df424,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,79f3293c-01a1-422f-b24f-329954a9dc83,Move in sync,Switched Off/Not Reachable,Incoming calls are not available,2019-12-03T14:30:00Z,2019-12-26T18:17:18.312Z
017946a1-9a6b-4b40-9c5c-a2b3b093884d,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,f2e352e7-d1ed-4136-8fac-5d4453ad9867,Zomato,Very Interested,Going on Monday,2019-08-29T12:30:00Z,2019-12-26T17:43:59.343Z
017bb11e-1d32-4d3a-a7a3-cd894bfb3e73,4248b521-ce3f-4897-a30d-35c9ee81f746,5fc4700f-42e5-4a94-bdea-bc94cef5325a,Swiggy,Not Interested - Not Applied,,2019-08-05T11:30:00Z,2019-12-26T17:36:12.677Z
017cb38b-86fa-4b33-a1d2-e78283ea6fad,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,4939b68e-d86b-43b9-9a50-8bc52bcfd617,,Not sure,Out of station,2020-04-01T10:30:00Z,2019-12-26T17:21:11.808Z
017db716-185e-49e5-be82-f1763f0815a7,4248b521-ce3f-4897-a30d-35c9ee81f746,32a8e0d3-0e61-4b3b-9cae-eb429de1f229,,CNP/Switched Off/Not Reachable,,2019-08-20T17:30:00Z,2019-12-26T17:52:58.127Z
017e43ab-4276-4593-8b8c-44507f5fd058,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,10364fdf-f641-4afb-88e0-c857d26befab,Zomato,Very Interested,Going on Thursday,2019-08-07T13:30:00Z,2019-12-26T17:43:58.720Z
01845785-1cca-423f-92bc-5f96e7cee13e,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,8f556840-b15e-4c97-a6b3-21b148db484b,Swiggy,Switched Off/Not Reachable/No Incoming,,2019-10-31T17:30:00Z,2019-12-26T18:08:18.528Z
0184faca-86ae-4387-94fa-620978ce3e39,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,91038a8c-3edf-4c1f-b604-b949b256085c,Zomato,CNP/Switched Off/Not Reachable,,2020-06-01T10:30:00Z,2019-12-26T17:26:37.995Z
018562dc-b3d8-4324-9ecb-eb199135b321,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,a24f00ca-3c17-4d0c-838d-2629d9b1937b,Uber eats,Very Interested,Going on Friday,2019-10-07T10:30:00Z,2019-12-26T18:17:20.439Z
018638e1-847c-4cfd-99f8-7baf4c56ef75,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,7248c0f0-abc0-4487-9b92-316f2a15b422,Random,Not Interested - Others,Not interested in Uber,2019-11-21T15:00:00Z,2019-12-26T18:17:17.748Z
0186cfeb-92b0-45ae-b28a-9fe72a7e6d38,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,37c56baa-bd01-414a-963e-ef0d6506fd68,Zomato,Not Interested,Not Looking for Job,2020-06-01T10:30:00Z,2019-12-26T17:26:36.676Z
01939271-78c1-4328-baaf-c304cfe9caa0,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,a8a343be-3047-44fa-afa6-561856df5c52,Zomato,CNP/Switched Off/Not Reachable,,2020-05-01T10:30:00Z,2019-12-26T17:22:22.604Z
0199561e-494c-458f-be09-f9684fdfe18c,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,a8713a0f-1d2a-4406-b0c1-e1e160aadeb0,Lalamove,Switched Off/Not Reachable,,2019-11-12T12:30:00Z,2019-12-26T18:17:15.020Z
01aa1a02-0e1a-455e-928f-21767521b815,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,90500554-f8ee-4c41-ad1c-6359bcd0e0a3,Zomato,Wrong Number/Number Not Valid,,2020-06-01T10:30:00Z,2019-12-26T17:26:38.301Z
01ad7e78-c6f5-46cf-aa50-550b06fc5f70,4248b521-ce3f-4897-a30d-35c9ee81f746,9cc60597-b39b-4998-ad26-b14ce4218745,Swiggy,CNP/Switched Off/Not Reachable,,2019-08-07T10:30:00Z,2019-12-26T17:36:13.745Z
01b1792a-b693-4d1f-90cc-b53dfc9409be,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,be0e596a-86d4-4847-bfff-e3366f9d29a0,Uber Eats,Wrong Number/Number Not Valid,,2019-11-12T13:00:00Z,2019-12-26T18:17:14.743Z
01ce5dfa-98b0-4f2e-8a1c-748b2fcb7b6d,4248b521-ce3f-4897-a30d-35c9ee81f746,47b785c0-f8fc-4207-947f-5c6368125f55,Swiggy,Call Back,,2019-11-01T15:00:00Z,2019-12-26T18:09:39.182Z
01d434f0-ed6d-4b77-ba68-9a8225110583,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,84e303ad-42f8-407a-a60b-39809f49b730,Zomato,Not Interested - Applied by Mistake,,2019-08-28T17:00:00Z,2019-12-26T17:46:22.890Z
01df1fac-1801-495d-8bd3-2abfc28bf6bf,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,3d9acf01-1bc6-4828-af21-2a5cbeffcc39,Swiggy,CNP/Switched Off/Not Reachable,,2019-07-30T17:00:00Z,2019-12-26T17:31:26.412Z
01e88174-5ec5-4176-9f2f-718b191841f7,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,63272525-468f-462b-96ba-0eb3b8932226,Swiggy,CNP/Switched Off/Not Reachable,,2019-08-13T12:30:00Z,2019-12-26T17:31:27.304Z
01ead829-6568-4764-a6e8-6504922e5d68,4248b521-ce3f-4897-a30d-35c9ee81f746,31bbd199-ae3e-407a-a52c-2978df7bb2c8,KFC,Not Interested - Others,Looking for 15k Salary,2019-10-10T12:00:00Z,2019-12-26T18:09:39.554Z
01f00357-c97d-4033-a2f5-6bf778e5f906,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,9eddcaa2-7c65-434c-b0c4-83dc53c88bd1,Zomato,Location issue,,2020-06-01T10:30:00Z,2019-12-26T17:26:37.698Z
01f70f51-209a-4d2f-ae5d-c86b5244fdec,4248b521-ce3f-4897-a30d-35c9ee81f746,dbebd128-a3e6-4a8a-86f0-048687a9934a,Swiggy,Not Interested - Disconnected the Call,,2019-07-31T14:30:00Z,2019-12-26T17:36:13.149Z
01ff94e1-1970-4f85-a6da-2acddf908e40,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,70b101eb-d10a-430f-909f-2b2e8faa490a,Move in sync,Wrong Number/Number Not Valid,Number not valid,2019-11-29T15:30:00Z,2019-12-26T18:17:15.794Z
0208291e-04ff-4d63-9b70-bb2cea4c5f38,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,55ea1dcf-453e-4f14-b536-0421cc5e7236,Zomato,Disconnected the Call,No Bike(Next Week)Looking for Chennai Loaction,2020-06-01T10:30:00Z,2019-12-26T17:26:37.328Z
0214d611-ca51-4e75-b6e0-681c12faa050,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,9b3d2879-2edf-4649-862d-97d06ed28bab,1 MG,Very Interested,Going on saturday,2020-05-01T10:30:00Z,2019-12-26T17:22:26.040Z
021acf3e-38ad-4996-9df0-1ebceb0c0daf,4248b521-ce3f-4897-a30d-35c9ee81f746,bc9472ef-5e76-43c6-a090-4c560b0a4ba9,Uber Eats,RNR,,2019-10-17T15:00:00Z,2019-12-26T18:09:41.195Z
021fb3c1-10d4-468d-ba73-03ca2c86da6b,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,7c708a18-b0cd-42f6-9fce-c75b9da7f295,Move in sync,Switched Off/Not Reachable,Incoming calls are not available,2019-12-02T12:30:00Z,2019-12-26T18:17:20.283Z
0226d184-1b67-4fd4-899d-dd5248cc9e0a,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,f8be17c2-4796-45de-bb64-d9b2e60fb076,Uber,Very Interested,Waiting for docs{Chithradhurga} for UBER,2019-11-05T10:30:00Z,2019-12-26T18:17:19.899Z
02298579-23ba-4393-8411-9609b82d780f,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,48922105-2899-4304-b18d-c56a4bf80af9,Zomato,Want Non-Delivery Jobs,Looking for Online Job,2020-05-01T10:30:00Z,2019-12-26T17:22:22.684Z
023561a2-cc3c-4ec9-8d48-da6f3b9a7f41,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,7a4fa546-4846-4460-aba4-f813ad97b377,Zomato,CNP/Switched Off/Not Reachable,,2019-08-19T15:00:00Z,2019-12-26T17:43:58.991Z
0236e966-075c-4fcd-b176-bf18cd3d1316,4248b521-ce3f-4897-a30d-35c9ee81f746,4cbfb6b7-c557-4c1b-97d3-1fb565dd421d,Swiggy,Not Interested - Disconnected the Call,,2019-08-02T15:00:00Z,2019-12-26T17:36:12.573Z
02388ec6-4614-4894-a82e-25df766e8f9f,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,21532da2-d148-414f-9cf7-956df8344567,Rapido,CNP/Switched Off/Not Reachable,,2020-05-01T10:30:00Z,2019-12-26T17:22:24.434Z
023ba9ec-2372-446e-ae0a-59a220da96d2,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,4bd042bd-ba6a-46f0-a788-9b68aaa1b05f,Zomato,Interested,Going on Sat,2020-04-01T10:30:00Z,2019-12-26T17:21:11.553Z
02413962-4955-4b70-a4ab-67eab6c7f398,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,f3d2696e-cd9e-4003-a0d4-c1af17a00aba,Zomato,Not Interested - Location Issue,Kerala,2019-07-22T17:00:00Z,2019-12-26T17:32:21.261Z
02473cbf-7d35-426d-8593-a5f58dc867de,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,19a3549b-9651-412f-a68e-cf3318a68106,Zomato,Not Interested - Not Sure,Not Sure he will call back,2019-11-19T11:00:00Z,2019-12-26T18:17:15.186Z
024b57e5-cd38-441d-b2dd-1b84e0f57be0,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,c2ad33a4-a5c9-4ef0-81de-70e140481a3b,Zomato,CNP/Switched Off/Not Reachable,,2020-06-01T10:30:00Z,2019-12-26T17:26:37.618Z
025bfb76-0180-4e87-b2cd-8ce45432bb39,fd904600-1e6e-4ab2-8be9-d7903aed9d3d,ebfdf951-d4c5-4350-b262-ecdc7655f241,Zomato,Not Interested - Applied by Mistake,,2019-07-22T17:00:00Z,2019-12-26T17:32:21.252Z
025eff7f-9774-47af-b776-6d656ec30af3,4248b521-ce3f-4897-a30d-35c9ee81f746,3964c33d-0dcd-4dea-8bc5-074a1639428a,Swiggy,Not Interested - Disconnected the Call,,2019-07-30T16:30:00Z,2019-12-26T17:36:12.925Z
